Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
MAPK11,Tivantinib,-0.42405491,LINCSKD_31604,VCAP,120 h,LINCSCP_69696,A375,10uM,24h
MAPK11,149759-96-6,-0.42385426,LINCSKD_31604,VCAP,120 h,LINCSCP_7565,A549,10uM,24h
MAPK11,Aminoglutethimide,-0.42382959,LINCSKD_31604,VCAP,120 h,LINCSCP_214793,HCC515,10uM,6h
MAPK11,AMD-070 (hydrochloride),-0.42379222,LINCSKD_31604,VCAP,120 h,LINCSCP_75545,A375,0.37uM,24h
MAPK11,SB743921,-0.42338103,LINCSKD_31604,VCAP,120 h,LINCSCP_142106,MCF7,0.37uM,24h
MAPK11,Bisacodyl,-0.42325687,LINCSKD_31604,VCAP,120 h,LINCSCP_14909,HA1E,10uM,6h
MAPK11,Valyltryptophan,-0.4228645,LINCSKD_31604,VCAP,120 h,LINCSCP_52752,SKB,10uM,24h
MAPK11,Dnqx,-0.42219362,LINCSKD_31604,VCAP,120 h,LINCSCP_11332,ASC,10uM,24h
MAPK11,Oxfendazole,-0.42204076,LINCSKD_31604,VCAP,120 h,LINCSCP_32821,MCF7,10uM,24h
MAPK11,MLS000756415,-0.4215029,LINCSKD_31604,VCAP,120 h,LINCSCP_11239,ASC,10uM,24h
MAPK11,CHEMBL2143402,-0.42149571,LINCSKD_31604,VCAP,120 h,LINCSCP_33878,MCF7,10uM,24h
MAPK11,BRD-K60636255,-0.42130038,LINCSKD_31604,VCAP,120 h,LINCSCP_8636,A549,5uM,24h
MAPK11,CHEMBL1222381,-0.42129792,LINCSKD_31604,VCAP,120 h,LINCSCP_40357,NCIH596,80uM,6h
MAPK11,CHEMBL1354134,-0.42121334,LINCSKD_31604,VCAP,120 h,LINCSCP_16089,HA1E,10uM,6h
MAPK11,AC1NWAPU,-0.42095616,LINCSKD_31604,VCAP,120 h,LINCSCP_158857,PC3,0.12uM,24h
MAPK11,CHEMBL2360495,-0.41920963,LINCSKD_31604,VCAP,120 h,LINCSCP_37473,MCF7,10uM,24h
MAPK11,N-Acetyldopamine,-0.41855935,LINCSKD_31604,VCAP,120 h,LINCSCP_13099,FIBRNPC,10uM,6h
MAPK11,Broad-Sai-424,-0.41847345,LINCSKD_31604,VCAP,120 h,LINCSCP_3876,A375,1.11uM,24h
MAPK11,MLS002264451,-0.41816909,LINCSKD_31604,VCAP,120 h,LINCSCP_22026,HEPG2,10uM,6h
MAPK11,MLS002264442,-0.41723943,LINCSKD_31604,VCAP,120 h,LINCSCP_31503,MCF7,10uM,6h
MAPK11,AT-7519,-0.41723359,LINCSKD_31604,VCAP,120 h,LINCSCP_36607,MCF7,1uM,6h
MAPK11,SCHEMBL16980377,-0.41679715,LINCSKD_31604,VCAP,120 h,LINCSCP_3971,A375,0.12uM,24h
MAPK11,CHEMBL1619263,-0.41653205,LINCSKD_31604,VCAP,120 h,LINCSCP_46918,PC3,10uM,6h
MAPK11,BRD-K01700755,-0.41626167,LINCSKD_31604,VCAP,120 h,LINCSCP_60495,VCAP,5uM,24h
MAPK11,CHEMBL1555451,-0.41625439,LINCSKD_31604,VCAP,120 h,LINCSCP_31078,MCF7,10uM,6h
